CONFIRMED | Green kernels solve the homogeneous ODE on the positive half | symbolic identity
CONFIRMED | Green interface jumps: g0=(0,-1), g1=(1,0) | symbolic identity
CONFIRMED | Green endpoint boundary conditions | symbolic identity
CONFIRMED | Green low moments equal 1/c | symbolic integration
CONFIRMED | All checked original sparse polynomials satisfy Krein conditions | finite exact instances
CONFIRMED | Only p0,p1 detect the two traces at zero | finite exact instances
CONFIRMED | Tail endpoint correction determinant and inverse | symbolic identity
CONFIRMED | Projected-sparse counterexample satisfies every even recurrence | symbolic identity
CONFIRMED | Counterexample norm positive and finite-tail upper bound | finite rational bounds
CONFIRMED | Counterexample not orthogonal to x2 while in V | exact moment test
CONFIRMED | Sparse span misses two algebraic directions; adding x2,x3 repairs it | finite exact rank
CONFIRMED | Theorem F low tests do not annihilate an infinite-dimensional V | finite exact witness
CONFIRMED | Nonzero detection of x2,x3 is not pinning both moments | finite exact witness
CONFIRMED | Four-trace boundary correction has a polynomial right inverse | exact matrix identity
CONFIRMED | H4-corrected polynomials remain in the original sparse span | finite exact instances
CONFIRMED | Sixth-degree cancellation enters H4 | symbolic identity
CONFIRMED | General-index boundary derivative formulas for both parities | symbolic parameter identity
CONFIRMED | Exact p4 and p5 spectral coefficient formulas | symbolic identity
CONFIRMED | Nonzero fourth-order spectral tails for both sparse parities | finite exact instances
CONFIRMED | Spectral membership power count matches the strict 7/2 threshold | finite symbolic leading terms
CONFIRMED | Coefficient formulas independently checked by symbolic integration | symbolic integration
TOTAL: 21 named groups confirmed; no failures.
